Article Title,Author(s),Publication Year,Journal,URL,Data Collected,Data Collected (AAT),Art Historical and/or Cultural Object of Study,Discipline/Concept (AAT),Affiliated Country,Funding Source,Data Deposited?,Data Repository,DOI/URL of Deposited Data,Data Availability Statement,Data Paper Cited?,DOI of Data Paper
Egyptian Sarcophagi and Mummies in the San Diego Museum of Man: Some Technical Studies,David A. Scott,2018,Studies in Conservation,https://doi.org/10.1080/00393630.2017.1331549,"non-destructive X-ray fluorescence (XRF) analysis, polarized light microscopy (PLM), and Debye–Scherrer powder X-ray diffraction (XRD)",Wave-length Dispersive X-ray Fluorescence Spectroscopy (XRF); Optical Microscopy,Egyptian sarcophagyi and mummies; San Diego Museum of Man,NA,United States,none listed,in paper,none,none,none,none,
Dyestuff Identification and Significance of Interleaves from Moroccan Manuscripts of Dalā’il al-Khayrāt,"Amélie Couvrat Desvergnes, Ina Vanden Berghe",2018,Studies in Conservation,https://doi.org/10.1080/00393630.2017.1314585,(reverse-phase) high-performance liquid chromatography with photo diode array detection (RP-HPLC-DAD),Photography,Dalā’il al-Khayrāt manuscripts,Cultural Artifact,Qatar; Belgium,Islamic Manuscript Association (TIMA),in paper,none,none,none,none,
Wavelength Dependence of Light Induced Changes in Reflectance Spectra of Selected Dyes and Pigments,"Beate Villmann (http://orcid.org/0000-0003-2819-7055), Christian Weickhardt",2018,Studies in Conservation,https://doi.org/10.1080/00393630.2017.1345088,light intensity relative to radiation,,NA,NA,Germany,German Federal Government Commissioner for Culture and the Media,repository ,Figshare,https://doi.org/10.1080/00393630.2017.1345088,none,none,
More Reliable Dating of Japanese Silk Mounting Textiles for Conservation Decisions: Effects of Silk Processing on Silk Surface Morphology and Aspartic Acid Racemization,"Chika Mori Shimada (https://orcid.org/0000-0003-1283-3766), Blythe McCarthy (https://orcid.org/0000-0002-6427-3484), Christopher M. Rollman, Andrew Hare. Jiro Ueda, Mehdi Moini (https://orcid.org/0000-0002-3671-676X)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2023.2289720,"optical microscopy, chiral capillary electrophoresis mass spectrometry for amio acid racemization dating (AAR), liquid chromatography mass spectrometry for dye analysis, FTIR analysos ",Optical Microscopy; Colorant; Fourier Transform Infrared Spectroscopy (FTIR),historic Japanese mounting textiles,Cultural Artifact,United States,Smithsonian Institution; National Museum of Asian Art; National Science Foundation,in paper,none,none,none,none,
"Cupid, Canvas, Circle, Plane: Conservation and Conceptual Fine Art Practice","Sophy Rickett (https://orcid.org/0000-0003-3258-551X), Jenny Williamson",2021,Studies in Conservation,https://doi.org/10.1080/00393630.2021.1959136,survey data,Surveys,Cupid Asleep in a Garland of Flowers by Mario di Fiori,Fine Art,United Kingdom,none listed,in paper,none,none,none,none,
Defining Sustainable Priorities and Actions for Storage of a Public Archive: A UK Case Study,Yuki Russell,2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2356920,"collection survey, archival usage data ",Surveys,Norfolk Record Office collections,Cultural Artifact,United Kingdom,none listed,in paper,none,none,none,none,
Planning for Artefact Installation and the Challenges of Implementation: Behind the Scenes in the King Tutankhamun Gallery at the Grand Egyptian Museum,Hussein M Kamal,2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2066310,exhibition assembly difficulty data ,Electron Microscopy,King Tutankhamun collection,NA,Egypt,none listed,in paper,none,none,none,none,
"Conserving Context and Community: Reconnecting an Illegally Excavated, Precolonial Dugout Canoe to its Community","Stéphanie Cretté (https://orcid.org/0000-0003-4687-657X), Se'Khu Hadjo, Wenonah Haire, Lisa McQueen-Starling, Michelle Mitchum, Lamar Nelson, Nicholas Nelson-Delong, Gyllian Porteous, Dexter Sharp, Cheryl Sievers-Cail, Andrew Spell",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2066272,radiocarbon dating,,"Excavated dugout canoe, South Carolina ",Cultural Artifact,United States,Gaylord and Dorothy Donnelley Foundation; South Carolina Humanities; the Garvey Family Trust Fund; Institute of Museum and Library Services,no,none,none,none,none,
Small Changes to Avoid Major Loss: Collaborative Conservation Practices at Rouse Hill House and Farm,Sarah-Jane Rennie,2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1789390,condition assessments,Conditions,Rouse Hill House Estate ,Architecural Heritage,Austrailia ,none listed,no,none,none,none,none,
Risk Assessment and Monitoring of Termites in the Forbidden City under Global Warming,"Guoqing Zhang (https://orcid.org/0000-0002-1348-2016), An Gu, Dayu Zhang, Junfend Shen",2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2059988,"distribution and spread of termites in Beijing, location of termite infestations, change in number of termite-intestations, temperature data, percipitation data, RH",Measurements,buildings of Forbidden City ,Architecural Heritage,China,Research Fund of the Hall of Mental Cultivation,in paper,none,none,none,none,
Emergency Response Plan Workshops: The Value of an Interdisciplinary Collaborative Approach. An Innovative Methodology at the Service of the Collective,Marie Courselaud,2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2066317,"emergency response plan implementation data, geographical data",,NA,NA,France,none listed,in paper,none,none,none,none,
Sustainable and Beneficial: Pollutant Absorption and Relative Humidity Control in Display Cases by Saturated Salt Solutions,"Daniel Becker (https://orcid.org/0009-0008-8315-3729), Oliver Brieger (https://orcid.org/0009-0004-2686-2706), Christian Bur (https://orcid.org/0000-0003-2177-3646), Gerhard Eggert (https://orcid.org/0000-0003-2443-1094), Heiner Grieb, My Sa Marschibois, Katja Franziska Siebel",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2339727,"metal oxide semiconductor (MOS) gas sensor data, formaldehyde concentration, temperature and RH data ",Electron Microscopy; Measurements,NA,NA,Germany,German Federal Foundation for the Environment (DBU); International Institute for Conservation,in paper,none,none,none,none,
Preserving the Ancient Human Trackways Site in the Willandra Lakes World Heritage Area,Colin Macgregor,2022,Studies in Conservation,https://doi.org/10.1080/00393630.2022.2050616,"optically stimulated luminescence (OSL) dating, silt composition analysis, scanning mould vertices",,"human footprints, Willandra Lakes World Heritage Area",Cultural Artifact,Austrailia ,New South Wales Department of Environment and Conservation,in paper,none,none,none,none,
"Building on Successful Mechanical and Passive Environmental Controls for Preventive Conservation Through Data Analysis at National Museum Cardiff, Wales","Diane Gwilt, Kelly McCauley (https://orcid.org/0009-0005-3367-0240), Robert Pearce",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2376926,"average montly dew points at different RHs, dew point in collection spaces, dew point in collection spaces by different methods of control, relative humidity in collection spaces, temperature in collection spaces, temperature in collection spaces by different methods of control, relative humidity in collection spaces by different methods of control, mechanical sysem performance before and after blocking ",Measurements; Electron Microscopy,National Museum Cardiff collections ,Fine Art,United Kingdom; United States,none listed,in paper,none,none,none,none,
Sustainable Conservation Solutions in a Hostile Environment: The Historic Huts of Antarctica,"Julian Bickersteth (https://orcid.org/0000-0002-2280-5913), Gordon Macdonald (https://orcid.org/0009-0000-0061-8378), Lizzie Meek (https://orcid.org/0000-0002-5831-1536)",2024,Studies in Conservation,https://doi.org/10.1080/00393630.2024.2350286,"photogrammetric measurements, SLAM portable laser scan ",Photography,"Scott's Memorial Cross on Observation Hill, Antarctica",Cultural Artifact,Australia; Canada; New Zealand,none listed,in paper,none,none,none,none,
Integrating Art Conservation and Building Restoration in the Care of Organic Architecture,"Judith Bützer, Katharina Klauke",2020,Studies in Conservation,https://doi.org/10.1080/00393630.2020.1758498,"measurements, material analysis",Measurements,Düsseldorf Schauspielhaus theater building,Architecural Heritage,Germany,none listed,no,none,none,none,none,
